	mentions	scholar
1085	1	Филиппом Гоше
1086	1	Кельнского Техасского
1087	1	Уилфрида Лорье
1088	1	Крис Карилли
1089	1	Стокса
1090	1	Джеффри Уильямс
1091	1	Камю
1092	1	Сварупа
1093	1	Рафаэлла Бьянуччи
1094	1	Адреас Нерлих
1095	1	Шмуэль
1096	1	Ицхак
1097	1	Агладзе
1098	1	Лундского
1099	1	Эндрю Розенберг
1100	1	Якобса
1101	1	Сю Гоцян
1102	1	Олег Сийдра
1103	1	Вандепут
1104	1	Роберта Келли
1105	1	Уиллардом Либби
1106	1	Эдвард Блит
1107	1	Джузеппе Пиацци
1108	1	Наноиглы
1109	1	Цань
1110	1	Циньхуа
1111	1	Винсаном Перришо
1112	1	Влад
1113	1	Вивеком Венкатараманом
1114	1	Джанис Чень
1115	1	Диего
1116	1	Терри Пауэр
1117	1	Ребекка Бенефиль
1118	1	Росэлектроника
1119	1	Николас Ривз
1120	1	Сяо Сяо
1121	1	Хироси Исии
1122	1	Ангус Дэвисон
1123	1	Адель Гриндон
1124	1	Софи Харрисон
1125	1	Цзи Сюэпин
1126	1	Даррен Карноу
1127	1	Дэниэл Суслак
1128	1	Мануэль Сеговия
1129	1	Квинслендского
1130	1	Зайцева
1131	1	Кендрик Уайт
1132	1	Дженга
1133	1	Лаура Круз
1134	1	Гаджеты
1135	1	Дэниел Эдвардс
1136	1	Венсана Франсиньи
1137	1	Уэйна
1138	1	Суонси
1139	1	Ахмеда
1140	1	Нордслеттен
1141	1	Мильнер
1142	1	Т-Лимфоциты
1143	1	Уильям Лиддиард
1144	1	Бенгтом Илоном
1145	1	Калтеха Майкл Браун
1146	1	Мейер Фортес
1147	1	Бронислав Малиновский Бронислав Малиновский
1148	1	Брайан Хейден
1149	1	Кертин
1150	1	Дитер Михаэль
1151	1	Хендриксен
1152	1	Нижнеудинска
1153	1	Демьянец
1154	1	Садовничий
1155	1	Садовничего
1156	1	Мунитта Мутана
1157	1	Нижнекамска
1158	1	Дисмас Матовело
1159	1	Нанди Нгвалида
1160	1	Рослесхоз
1161	1	Еврипид
1162	1	Геркая
1163	1	Энцелад
1164	1	Игорь Агамирзян
1165	1	Симона
1166	1	Сульпицио
1167	1	Изабель
1168	1	Луиза Хамфри
1169	1	Воса
1170	1	Дэвида Воса
1171	1	Флоуминдер
1172	1	Седов
1173	1	Астаксантин
1174	1	Прозака
1175	1	Марра
1176	1	Говардом
1177	1	Роберт Бонд
1178	1	Бонд
1179	1	Ожиганова
1180	1	Станислав Дробышевский
1181	1	Сяочу Чжана
1182	1	Белфасте
1183	1	Сергея Савельева
1184	1	Кесария
1185	1	Робот-Хирург
