path,source,url,date,title,subtitle,author,rubrics,tags,genre
chrdk.ru/articles/sci_Denisov_tetraquark.txt,https://chrdk.ru/,https://chrdk.ru/sci/Denisov_tetraquark,11.03.2016,Кирпичики Вселенной,Почему в последнее время физики стали открывать так много новых частиц,Михаил Петров,,Физика_Интервью_Футурология_Большой адронный коллайдер_Технологии,Статьи
chrdk.ru/articles/sci_density_functional_theory_interview.txt,https://chrdk.ru/,https://chrdk.ru/sci/density_functional_theory_interview,06.01.2017,Подрыв устоев,"Интервью о статье российских ученых в Science, которая может изменить современную квантовую химию",Александра Борисова,,Химия_Российская наука_РАН,Статьи
chrdk.ru/articles/sci_depending_on_the_weather.txt,https://chrdk.ru/,https://chrdk.ru/sci/depending_on_the_weather,28.07.2017,В зависимости от погоды,"Как погода влияет на наши эмоции, убеждения и решения",Екатерина Боровикова,,Психология_Социология,Статьи
chrdk.ru/articles/sci_derevya_prodolzhaut_pogloshhat_co2_iz_vozduha_eshhe_mesyats_posle_prekrashheniya_rosta.txt,https://chrdk.ru/,https://chrdk.ru/sci/derevya_prodolzhaut_pogloshhat_co2_iz_vozduha_eshhe_mesyats_posle_prekrashheniya_rosta,02.12.2015,«Затормозить» глобальное потепление,"Как деревья спасают нас, изо всех сил поглощая углекислый газ из воздуха ",Екатерина Боровикова,,Биология_Климат_Российская наука,Статьи
chrdk.ru/articles/sci_diamond_plus_graphene.txt,https://chrdk.ru/,https://chrdk.ru/sci/diamond_plus_graphene,18.03.2016,Алмаз с начинкой ,Физики научились надежно создавать графен из алмаза при помощи лазера,Михаил Петров,,Физика_Химия_Материаловедение_Нанотехнологии_Российская наука,Статьи
chrdk.ru/articles/sci_dissovet-oboshel-medinskogo-storonoi.txt,https://chrdk.ru/,https://chrdk.ru/sci/dissovet-oboshel-medinskogo-storonoi,07.02.2017,Мединский готов дискутировать,Диссертационный совет истфака МГУ не нашел оснований для пересмотра диссертации министра культуры,Егор Быковский,,История_Российская наука,Статьи
chrdk.ru/articles/sci_dizenteriya_pronikla_na_drugie_kontinenty_iz_evropy.txt,https://chrdk.ru/,https://chrdk.ru/sci/dizenteriya_pronikla_na_drugie_kontinenty_iz_evropy,08.04.2016,Нехороший подарок,"Ученые выяснили, что дизентерия проникла на другие континенты из Европы",Алиса Веселкова,,История_Биология_Российская наука_Медицина_Микробиология,Статьи
chrdk.ru/articles/sci_do-microbes-dream-of.txt,https://chrdk.ru/,https://chrdk.ru/sci/do-microbes-dream-of,23.08.2017,Чего от нас хотят микробы?,Они управляют нашим поведением и добиваются желаемого,Полина Лосева,,Молекулярная биология_Биология_Медицина_Микробиология,Статьи
chrdk.ru/articles/sci_dolly_the_sheep_and_her_4_sisters.txt,https://chrdk.ru/,https://chrdk.ru/sci/dolly_the_sheep_and_her_4_sisters,27.07.2016,Атака клонов овечки Долли,Ученые опровергли опасения о преждевременном старении клонированных животных,Екатерина Боровикова,,Биотехнологии_Генетика_Футурология,Статьи
chrdk.ru/articles/sci_do_it_like_they_do_on_the_discovery_channel.txt,https://chrdk.ru/,https://chrdk.ru/sci/do_it_like_they_do_on_the_discovery_channel,10.03.2017,Подкрался незаметно,Зачем ученые переодеваются в животных,Екатерина Боровикова,,Животные,Статьи
